county,precinct,office,district,candidate,party,votes,election_day,mail,provisional
Perry,BLAIN BOROUGH,AUDITOR GENERAL,,REECE SMITH,LIB,2,2,0,0
Perry,BLAIN BOROUGH,AUDITOR GENERAL,,ERIC K ANTON,ASP,1,1,0,0
Perry,BLAIN BOROUGH,AUDITOR GENERAL,,BOB GOODRICH,CST,1,1,0,0
Perry,BLAIN BOROUGH,AUDITOR GENERAL,,Write-ins,,0,0,0,0
Perry,BLAIN BOROUGH,AUDITOR GENERAL,,Over Votes,,0,,,
Perry,BLAIN BOROUGH,AUDITOR GENERAL,,Under Votes,,2,,,
Perry,BLAIN BOROUGH,STATE TREASURER,,STACY GARRITY,REP,87,85,2,0
Perry,BLAIN BOROUGH,STATE TREASURER,,ERIN MCCLELLAND,DEM,22,17,5,0
Perry,BLAIN BOROUGH,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,2,2,0,0
Perry,BLAIN BOROUGH,STATE TREASURER,,CHRIS FOSTER,FWD,2,2,0,0
Perry,BLAIN BOROUGH,STATE TREASURER,,TROY BOWMAN,CST,1,1,0,0
Perry,BLAIN BOROUGH,STATE TREASURER,,Write-ins,,0,0,0,0
Perry,BLAIN BOROUGH,STATE TREASURER,,Over Votes,,0,,,
Perry,BLAIN BOROUGH,STATE TREASURER,,Under Votes,,2,,,
Perry,BLAIN BOROUGH,U.S. House,13,JOHN JOYCE,REP,93,91,2,0
Perry,BLAIN BOROUGH,U.S. House,13,BETH FARNHAM,DEM,21,16,5,0
Perry,BLAIN BOROUGH,U.S. House,13,Write-ins,,0,0,0,0
Perry,BLAIN BOROUGH,U.S. House,13,Over Votes,,0,,,
Perry,BLAIN BOROUGH,U.S. House,13,Under Votes,,2,,,
Perry,BLAIN BOROUGH,State House,86,PERRY A STAMBAUGH,REP,105,101,4,0
Perry,BLAIN BOROUGH,State House,86,Write-ins,,2,1,1,0
Perry,BLAIN BOROUGH,State House,86,Over Votes,,0,,,
Perry,BLAIN BOROUGH,State House,86,Under Votes,,9,,,
Perry,BLOOMFIELD BOROUGH,Registered Voters,,,,664,,,
Perry,BLOOMFIELD BOROUGH,Ballots Cast,,,,533,,,
Perry,BLOOMFIELD BOROUGH,President,,DONALD J TRUMP,REP,319,272,47,0
Perry,BLOOMFIELD BOROUGH,President,,KAMALA D HARRIS,DEM,200,142,58,0
Perry,BLOOMFIELD BOROUGH,President,,CHASE OLIVER,LIB,4,4,0,0
Perry,BLOOMFIELD BOROUGH,President,,Write-ins,,3,1,1,1
Perry,BLOOMFIELD BOROUGH,President,,JILL STEIN,GRN,2,2,0,0
Perry,BLOOMFIELD BOROUGH,President,,Over Votes,,1,,,
Perry,BLOOMFIELD BOROUGH,President,,Under Votes,,4,,,
Perry,BLOOMFIELD BOROUGH,U.S. Senate,,DAVE MCCORMICK,REP,312,264,48,0
Perry,BLOOMFIELD BOROUGH,U.S. Senate,,ROBERT P CASEY JR,DEM,193,136,56,1
Perry,BLOOMFIELD BOROUGH,U.S. Senate,,JOHN C THOMAS,LIB,12,12,0,0
Perry,BLOOMFIELD BOROUGH,U.S. Senate,,MARTY SELKER,CST,7,5,2,0
Perry,BLOOMFIELD BOROUGH,U.S. Senate,,LEILA HAZOU,GRN,2,2,0,0
Perry,BLOOMFIELD BOROUGH,U.S. Senate,,Write-ins,,0,0,0,0
Perry,BLOOMFIELD BOROUGH,U.S. Senate,,Over Votes,,1,,,
Perry,BLOOMFIELD BOROUGH,U.S. Senate,,Under Votes,,6,,,
Perry,BLOOMFIELD BOROUGH,ATTORNEY GENERAL,,DAVE SUNDAY,REP,321,270,51,0
Perry,BLOOMFIELD BOROUGH,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,184,131,52,1
Perry,BLOOMFIELD BOROUGH,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,8,8,0,0
Perry,BLOOMFIELD BOROUGH,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,5,4,1,0
Perry,BLOOMFIELD BOROUGH,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,2,2,0,0
Perry,BLOOMFIELD BOROUGH,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,2,1,1,0
Perry,BLOOMFIELD BOROUGH,ATTORNEY GENERAL,,Write-ins,,2,1,1,0
Perry,BLOOMFIELD BOROUGH,ATTORNEY GENERAL,,Over Votes,,1,,,
Perry,BLOOMFIELD BOROUGH,ATTORNEY GENERAL,,Under Votes,,8,,,
Perry,BLOOMFIELD BOROUGH,AUDITOR GENERAL,,TIM DEFOOR,REP,337,285,52,0
Perry,BLOOMFIELD BOROUGH,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,163,114,48,1
Perry,BLOOMFIELD BOROUGH,AUDITOR GENERAL,,REECE SMITH,LIB,10,10,0,0
Perry,BLOOMFIELD BOROUGH,AUDITOR GENERAL,,BOB GOODRICH,CST,5,4,1,0
Perry,BLOOMFIELD BOROUGH,AUDITOR GENERAL,,ERIC K ANTON,ASP,2,1,1,0
Perry,BLOOMFIELD BOROUGH,AUDITOR GENERAL,,Write-ins,,1,1,0,0
Perry,BLOOMFIELD BOROUGH,AUDITOR GENERAL,,Over Votes,,1,,,
Perry,BLOOMFIELD BOROUGH,AUDITOR GENERAL,,Under Votes,,14,,,
Perry,BLOOMFIELD BOROUGH,STATE TREASURER,,STACY GARRITY,REP,343,292,51,0
Perry,BLOOMFIELD BOROUGH,STATE TREASURER,,ERIN MCCLELLAND,DEM,163,112,50,1
Perry,BLOOMFIELD BOROUGH,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,6,6,0,0
Perry,BLOOMFIELD BOROUGH,STATE TREASURER,,TROY BOWMAN,CST,3,2,1,0
Perry,BLOOMFIELD BOROUGH,STATE TREASURER,,CHRIS FOSTER,FWD,3,2,1,0
Perry,BLOOMFIELD BOROUGH,STATE TREASURER,,Write-ins,,0,0,0,0
Perry,BLOOMFIELD BOROUGH,STATE TREASURER,,Over Votes,,1,,,
Perry,BLOOMFIELD BOROUGH,STATE TREASURER,,Under Votes,,14,,,
Perry,BLOOMFIELD BOROUGH,U.S. House,13,JOHN JOYCE,REP,329,281,48,0
Perry,BLOOMFIELD BOROUGH,U.S. House,13,BETH FARNHAM,DEM,188,133,54,1
Perry,BLOOMFIELD BOROUGH,U.S. House,13,Write-ins,,2,1,1,0
Perry,BLOOMFIELD BOROUGH,U.S. House,13,Over Votes,,1,,,
Perry,BLOOMFIELD BOROUGH,U.S. House,13,Under Votes,,13,,,
Perry,BLOOMFIELD BOROUGH,State House,86,PERRY A STAMBAUGH,REP,420,344,75,1
Perry,BLOOMFIELD BOROUGH,State House,86,Write-ins,,22,18,4,0
Perry,BLOOMFIELD BOROUGH,State House,86,Over Votes,,1,,,
Perry,BLOOMFIELD BOROUGH,State House,86,Under Votes,,90,,,
Perry,BUFFALO TOWNSHIP,Registered Voters,,,,889,,,
Perry,BUFFALO TOWNSHIP,Ballots Cast,,,,788,,,
Perry,BUFFALO TOWNSHIP,President,,DONALD J TRUMP,REP,602,531,71,0
Perry,BUFFALO TOWNSHIP,President,,KAMALA D HARRIS,DEM,174,113,61,0
Perry,BUFFALO TOWNSHIP,President,,CHASE OLIVER,LIB,6,5,1,0
Perry,BUFFALO TOWNSHIP,President,,JILL STEIN,GRN,5,4,1,0
Perry,BUFFALO TOWNSHIP,President,,Write-ins,,1,1,0,0
Perry,BUFFALO TOWNSHIP,President,,Over Votes,,0,,,
Perry,BUFFALO TOWNSHIP,President,,Under Votes,,0,,,
Perry,BUFFALO TOWNSHIP,U.S. Senate,,DAVE MCCORMICK,REP,559,493,66,0
Perry,BUFFALO TOWNSHIP,U.S. Senate,,ROBERT P CASEY JR,DEM,186,127,59,0
Perry,BUFFALO TOWNSHIP,U.S. Senate,,JOHN C THOMAS,LIB,18,14,4,0
Perry,BUFFALO TOWNSHIP,U.S. Senate,,MARTY SELKER,CST,10,9,1,0
Perry,BUFFALO TOWNSHIP,U.S. Senate,,LEILA HAZOU,GRN,8,6,2,0
Perry,BUFFALO TOWNSHIP,U.S. Senate,,Write-ins,,3,2,1,0
Perry,BUFFALO TOWNSHIP,U.S. Senate,,Over Votes,,0,,,
Perry,BUFFALO TOWNSHIP,U.S. Senate,,Under Votes,,4,,,
Perry,BUFFALO TOWNSHIP,ATTORNEY GENERAL,,DAVE SUNDAY,REP,591,518,73,0
Perry,BUFFALO TOWNSHIP,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,163,106,57,0
Perry,BUFFALO TOWNSHIP,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,12,12,0,0
Perry,BUFFALO TOWNSHIP,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,10,9,1,0
Perry,BUFFALO TOWNSHIP,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,3,2,1,0
Perry,BUFFALO TOWNSHIP,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,2,2,0,0
Perry,BUFFALO TOWNSHIP,ATTORNEY GENERAL,,Write-ins,,0,0,0,0
Perry,BUFFALO TOWNSHIP,ATTORNEY GENERAL,,Over Votes,,0,,,
Perry,BUFFALO TOWNSHIP,ATTORNEY GENERAL,,Under Votes,,7,,,
Perry,BUFFALO TOWNSHIP,AUDITOR GENERAL,,TIM DEFOOR,REP,599,524,75,0
Perry,BUFFALO TOWNSHIP,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,143,89,54,0
Perry,BUFFALO TOWNSHIP,AUDITOR GENERAL,,REECE SMITH,LIB,24,21,3,0
Perry,BUFFALO TOWNSHIP,AUDITOR GENERAL,,BOB GOODRICH,CST,10,10,0,0
Perry,BUFFALO TOWNSHIP,AUDITOR GENERAL,,Write-ins,,1,1,0,0
Perry,BUFFALO TOWNSHIP,AUDITOR GENERAL,,ERIC K ANTON,ASP,0,0,0,0
Perry,BUFFALO TOWNSHIP,AUDITOR GENERAL,,Over Votes,,0,,,
Perry,BUFFALO TOWNSHIP,AUDITOR GENERAL,,Under Votes,,11,,,
Perry,BUFFALO TOWNSHIP,STATE TREASURER,,STACY GARRITY,REP,607,530,77,0
Perry,BUFFALO TOWNSHIP,STATE TREASURER,,ERIN MCCLELLAND,DEM,134,84,50,0
Perry,BUFFALO TOWNSHIP,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,19,17,2,0
Perry,BUFFALO TOWNSHIP,STATE TREASURER,,TROY BOWMAN,CST,12,11,1,0
Perry,BUFFALO TOWNSHIP,STATE TREASURER,,CHRIS FOSTER,FWD,4,3,1,0
Perry,BUFFALO TOWNSHIP,STATE TREASURER,,Write-ins,,1,1,0,0
Perry,BUFFALO TOWNSHIP,STATE TREASURER,,Over Votes,,0,,,
Perry,BUFFALO TOWNSHIP,STATE TREASURER,,Under Votes,,11,,,
Perry,BUFFALO TOWNSHIP,U.S. House,13,JOHN JOYCE,REP,605,532,73,0
Perry,BUFFALO TOWNSHIP,U.S. House,13,BETH FARNHAM,DEM,170,112,58,0
Perry,BUFFALO TOWNSHIP,U.S. House,13,Write-ins,,3,2,1,0
Perry,BUFFALO TOWNSHIP,U.S. House,13,Over Votes,,0,,,
Perry,BUFFALO TOWNSHIP,U.S. House,13,Under Votes,,10,,,
Perry,BUFFALO TOWNSHIP,State House,86,PERRY A STAMBAUGH,REP,687,595,92,0
Perry,BUFFALO TOWNSHIP,State House,86,Write-ins,,20,10,10,0
Perry,BUFFALO TOWNSHIP,State House,86,Over Votes,,0,,,
Perry,BUFFALO TOWNSHIP,State House,86,Under Votes,,81,,,
Perry,BUFFALO TOWNSHIP,BUFFALO TOWNSHIP REFERENDUM,,NO,,380,308,72,0
Perry,BUFFALO TOWNSHIP,BUFFALO TOWNSHIP REFERENDUM,,YES,,371,313,58,0
Perry,BUFFALO TOWNSHIP,BUFFALO TOWNSHIP REFERENDUM,,Over Votes,,0,,,
Perry,BUFFALO TOWNSHIP,BUFFALO TOWNSHIP REFERENDUM,,Under Votes,,37,,,
Perry,CARROLL TOWNSHIP,Registered Voters,,,,3707,,,
Perry,CARROLL TOWNSHIP,Ballots Cast,,,,3065,,,
Perry,CARROLL TOWNSHIP,President,,DONALD J TRUMP,REP,2345,2062,276,7
Perry,CARROLL TOWNSHIP,President,,KAMALA D HARRIS,DEM,676,432,241,3
Perry,CARROLL TOWNSHIP,President,,CHASE OLIVER,LIB,19,16,3,0
Perry,CARROLL TOWNSHIP,President,,Write-ins,,12,7,5,0
Perry,CARROLL TOWNSHIP,President,,JILL STEIN,GRN,8,5,3,0
Perry,CARROLL TOWNSHIP,President,,Over Votes,,0,,,
Perry,CARROLL TOWNSHIP,President,,Under Votes,,5,,,
Perry,CARROLL TOWNSHIP,U.S. Senate,,DAVE MCCORMICK,REP,2261,1980,274,7
Perry,CARROLL TOWNSHIP,U.S. Senate,,ROBERT P CASEY JR,DEM,687,450,234,3
Perry,CARROLL TOWNSHIP,U.S. Senate,,JOHN C THOMAS,LIB,49,39,10,0
Perry,CARROLL TOWNSHIP,U.S. Senate,,LEILA HAZOU,GRN,24,17,7,0
Perry,CARROLL TOWNSHIP,U.S. Senate,,MARTY SELKER,CST,17,17,0,0
Perry,CARROLL TOWNSHIP,U.S. Senate,,Write-ins,,6,4,2,0
Perry,CARROLL TOWNSHIP,U.S. Senate,,Over Votes,,0,,,
Perry,CARROLL TOWNSHIP,U.S. Senate,,Under Votes,,21,,,
Perry,CARROLL TOWNSHIP,ATTORNEY GENERAL,,DAVE SUNDAY,REP,2318,2012,300,6
Perry,CARROLL TOWNSHIP,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,619,410,205,4
Perry,CARROLL TOWNSHIP,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,47,39,8,0
Perry,CARROLL TOWNSHIP,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,24,23,1,0
Perry,CARROLL TOWNSHIP,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,19,13,6,0
Perry,CARROLL TOWNSHIP,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,7,4,3,0
Perry,CARROLL TOWNSHIP,ATTORNEY GENERAL,,Write-ins,,5,3,2,0
Perry,CARROLL TOWNSHIP,ATTORNEY GENERAL,,Over Votes,,1,,,
Perry,CARROLL TOWNSHIP,ATTORNEY GENERAL,,Under Votes,,25,,,
Perry,CARROLL TOWNSHIP,AUDITOR GENERAL,,TIM DEFOOR,REP,2340,2035,299,6
Perry,CARROLL TOWNSHIP,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,541,345,193,3
Perry,CARROLL TOWNSHIP,AUDITOR GENERAL,,REECE SMITH,LIB,63,52,11,0
Perry,CARROLL TOWNSHIP,AUDITOR GENERAL,,BOB GOODRICH,CST,27,20,7,0
Perry,CARROLL TOWNSHIP,AUDITOR GENERAL,,ERIC K ANTON,ASP,5,3,2,0
Perry,CARROLL TOWNSHIP,AUDITOR GENERAL,,Write-ins,,4,0,4,0
Perry,CARROLL TOWNSHIP,AUDITOR GENERAL,,Over Votes,,0,,,
Perry,CARROLL TOWNSHIP,AUDITOR GENERAL,,Under Votes,,85,,,
Perry,CARROLL TOWNSHIP,STATE TREASURER,,STACY GARRITY,REP,2340,2033,301,6
Perry,CARROLL TOWNSHIP,STATE TREASURER,,ERIN MCCLELLAND,DEM,550,350,197,3
Perry,CARROLL TOWNSHIP,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,49,41,8,0
Perry,CARROLL TOWNSHIP,STATE TREASURER,,TROY BOWMAN,CST,27,25,2,0
Perry,CARROLL TOWNSHIP,STATE TREASURER,,CHRIS FOSTER,FWD,10,6,4,0
Perry,CARROLL TOWNSHIP,STATE TREASURER,,Write-ins,,5,2,3,0
Perry,CARROLL TOWNSHIP,STATE TREASURER,,Over Votes,,0,,,
Perry,CARROLL TOWNSHIP,STATE TREASURER,,Under Votes,,84,,,
Perry,CARROLL TOWNSHIP,U.S. House,13,JOHN JOYCE,REP,2349,2055,288,6
Perry,CARROLL TOWNSHIP,U.S. House,13,BETH FARNHAM,DEM,623,398,222,3
Perry,CARROLL TOWNSHIP,U.S. House,13,Write-ins,,6,2,4,0
Perry,CARROLL TOWNSHIP,U.S. House,13,Over Votes,,0,,,
Perry,CARROLL TOWNSHIP,U.S. House,13,Under Votes,,87,,,
Perry,CARROLL TOWNSHIP,State House,86,PERRY A STAMBAUGH,REP,2544,2188,350,6
Perry,CARROLL TOWNSHIP,State House,86,Write-ins,,73,42,30,1
Perry,CARROLL TOWNSHIP,State House,86,Over Votes,,0,,,
Perry,CARROLL TOWNSHIP,State House,86,Under Votes,,448,,,
Perry,CENTRE TOWNSHIP,Registered Voters,,,,1719,,,
Perry,CENTRE TOWNSHIP,Ballots Cast,,,,1451,,,
Perry,CENTRE TOWNSHIP,President,,DONALD J TRUMP,REP,1093,886,207,0
Perry,CENTRE TOWNSHIP,President,,KAMALA D HARRIS,DEM,334,209,125,0
Perry,CENTRE TOWNSHIP,President,,CHASE OLIVER,LIB,12,10,2,0
Perry,CENTRE TOWNSHIP,President,,JILL STEIN,GRN,6,5,1,0
Perry,CENTRE TOWNSHIP,President,,Write-ins,,4,4,0,0
Perry,CENTRE TOWNSHIP,President,,Over Votes,,0,,,
Perry,CENTRE TOWNSHIP,President,,Under Votes,,2,,,
Perry,CENTRE TOWNSHIP,U.S. Senate,,DAVE MCCORMICK,REP,1061,863,198,0
Perry,CENTRE TOWNSHIP,U.S. Senate,,ROBERT P CASEY JR,DEM,330,202,128,0
Perry,CENTRE TOWNSHIP,U.S. Senate,,JOHN C THOMAS,LIB,31,27,4,0
Perry,CENTRE TOWNSHIP,U.S. Senate,,LEILA HAZOU,GRN,11,9,2,0
Perry,CENTRE TOWNSHIP,U.S. Senate,,MARTY SELKER,CST,6,6,0,0
Perry,CENTRE TOWNSHIP,U.S. Senate,,Write-ins,,1,1,0,0
Perry,CENTRE TOWNSHIP,U.S. Senate,,Over Votes,,0,,,
Perry,CENTRE TOWNSHIP,U.S. Senate,,Under Votes,,11,,,
Perry,CENTRE TOWNSHIP,ATTORNEY GENERAL,,DAVE SUNDAY,REP,1086,887,199,0
Perry,CENTRE TOWNSHIP,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,314,189,125,0
Perry,CENTRE TOWNSHIP,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,22,18,4,0
Perry,CENTRE TOWNSHIP,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,6,6,0,0
Perry,CENTRE TOWNSHIP,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,2,1,1,0
Perry,CENTRE TOWNSHIP,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,2,1,1,0
Perry,CENTRE TOWNSHIP,ATTORNEY GENERAL,,Write-ins,,0,0,0,0
Perry,CENTRE TOWNSHIP,ATTORNEY GENERAL,,Over Votes,,0,,,
Perry,CENTRE TOWNSHIP,ATTORNEY GENERAL,,Under Votes,,19,,,
Perry,CENTRE TOWNSHIP,AUDITOR GENERAL,,TIM DEFOOR,REP,1107,897,210,0
Perry,CENTRE TOWNSHIP,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,267,158,109,0
Perry,CENTRE TOWNSHIP,AUDITOR GENERAL,,REECE SMITH,LIB,29,24,5,0
Perry,CENTRE TOWNSHIP,AUDITOR GENERAL,,BOB GOODRICH,CST,9,6,3,0
Perry,CENTRE TOWNSHIP,AUDITOR GENERAL,,ERIC K ANTON,ASP,3,3,0,0
Perry,CENTRE TOWNSHIP,AUDITOR GENERAL,,Write-ins,,0,0,0,0
Perry,CENTRE TOWNSHIP,AUDITOR GENERAL,,Over Votes,,0,,,
Perry,CENTRE TOWNSHIP,AUDITOR GENERAL,,Under Votes,,36,,,
Perry,CENTRE TOWNSHIP,STATE TREASURER,,STACY GARRITY,REP,1104,896,208,0
Perry,CENTRE TOWNSHIP,STATE TREASURER,,ERIN MCCLELLAND,DEM,272,160,112,0
Perry,CENTRE TOWNSHIP,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,25,21,4,0
Perry,CENTRE TOWNSHIP,STATE TREASURER,,CHRIS FOSTER,FWD,7,4,3,0
Perry,CENTRE TOWNSHIP,STATE TREASURER,,TROY BOWMAN,CST,5,4,1,0
Perry,CENTRE TOWNSHIP,STATE TREASURER,,Write-ins,,0,0,0,0
Perry,CENTRE TOWNSHIP,STATE TREASURER,,Over Votes,,0,,,
Perry,CENTRE TOWNSHIP,STATE TREASURER,,Under Votes,,38,,,
Perry,CENTRE TOWNSHIP,U.S. House,13,JOHN JOYCE,REP,1104,897,207,0
Perry,CENTRE TOWNSHIP,U.S. House,13,BETH FARNHAM,DEM,306,187,119,0
Perry,CENTRE TOWNSHIP,U.S. House,13,Write-ins,,1,1,0,0
Perry,CENTRE TOWNSHIP,U.S. House,13,Over Votes,,0,,,
Perry,CENTRE TOWNSHIP,U.S. House,13,Under Votes,,40,,,
Perry,CENTRE TOWNSHIP,State House,86,PERRY A STAMBAUGH,REP,1225,966,259,0
Perry,CENTRE TOWNSHIP,State House,86,Write-ins,,40,23,17,0
Perry,CENTRE TOWNSHIP,State House,86,Over Votes,,0,,,
Perry,CENTRE TOWNSHIP,State House,86,Under Votes,,186,,,
Perry,DUNCANNON BOROUGH,Registered Voters,,,,980,,,
Perry,DUNCANNON BOROUGH,Ballots Cast,,,,736,,,
Perry,DUNCANNON BOROUGH,President,,DONALD J TRUMP,REP,492,438,50,4
Perry,DUNCANNON BOROUGH,President,,KAMALA D HARRIS,DEM,231,163,65,3
Perry,DUNCANNON BOROUGH,President,,CHASE OLIVER,LIB,6,5,1,0
Perry,DUNCANNON BOROUGH,President,,JILL STEIN,GRN,4,4,0,0
Perry,DUNCANNON BOROUGH,President,,Write-ins,,0,0,0,0
Perry,DUNCANNON BOROUGH,President,,Over Votes,,0,,,
Perry,DUNCANNON BOROUGH,President,,Under Votes,,3,,,
Perry,DUNCANNON BOROUGH,U.S. Senate,,DAVE MCCORMICK,REP,464,408,54,2
Perry,DUNCANNON BOROUGH,U.S. Senate,,ROBERT P CASEY JR,DEM,227,166,58,3
Perry,DUNCANNON BOROUGH,U.S. Senate,,JOHN C THOMAS,LIB,19,17,1,1
Perry,DUNCANNON BOROUGH,U.S. Senate,,LEILA HAZOU,GRN,16,13,3,0
Perry,DUNCANNON BOROUGH,U.S. Senate,,MARTY SELKER,CST,4,4,0,0
Perry,DUNCANNON BOROUGH,U.S. Senate,,Write-ins,,0,0,0,0
Perry,DUNCANNON BOROUGH,U.S. Senate,,Over Votes,,0,,,
Perry,DUNCANNON BOROUGH,U.S. Senate,,Under Votes,,6,,,
Perry,DUNCANNON BOROUGH,ATTORNEY GENERAL,,DAVE SUNDAY,REP,459,406,50,3
Perry,DUNCANNON BOROUGH,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,227,162,63,2
Perry,DUNCANNON BOROUGH,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,20,17,2,1
Perry,DUNCANNON BOROUGH,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,13,12,1,0
Perry,DUNCANNON BOROUGH,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,9,9,0,0
Perry,DUNCANNON BOROUGH,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,2,2,0,0
Perry,DUNCANNON BOROUGH,ATTORNEY GENERAL,,Write-ins,,1,1,0,0
Perry,DUNCANNON BOROUGH,ATTORNEY GENERAL,,Over Votes,,0,,,
Perry,DUNCANNON BOROUGH,ATTORNEY GENERAL,,Under Votes,,5,,,
Perry,DUNCANNON BOROUGH,AUDITOR GENERAL,,TIM DEFOOR,REP,471,414,54,3
Perry,DUNCANNON BOROUGH,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,205,143,60,2
Perry,DUNCANNON BOROUGH,AUDITOR GENERAL,,REECE SMITH,LIB,24,22,1,1
Perry,DUNCANNON BOROUGH,AUDITOR GENERAL,,BOB GOODRICH,CST,8,7,1,0
Perry,DUNCANNON BOROUGH,AUDITOR GENERAL,,ERIC K ANTON,ASP,4,4,0,0
Perry,DUNCANNON BOROUGH,AUDITOR GENERAL,,Write-ins,,0,0,0,0
Perry,DUNCANNON BOROUGH,AUDITOR GENERAL,,Over Votes,,0,,,
Perry,DUNCANNON BOROUGH,AUDITOR GENERAL,,Under Votes,,24,,,
Perry,DUNCANNON BOROUGH,STATE TREASURER,,STACY GARRITY,REP,474,419,52,3
Perry,DUNCANNON BOROUGH,STATE TREASURER,,ERIN MCCLELLAND,DEM,209,147,60,2
Perry,DUNCANNON BOROUGH,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,16,14,1,1
Perry,DUNCANNON BOROUGH,STATE TREASURER,,TROY BOWMAN,CST,9,8,1,0
Perry,DUNCANNON BOROUGH,STATE TREASURER,,CHRIS FOSTER,FWD,2,1,1,0
Perry,DUNCANNON BOROUGH,STATE TREASURER,,Write-ins,,0,0,0,0
Perry,DUNCANNON BOROUGH,STATE TREASURER,,Over Votes,,0,,,
Perry,DUNCANNON BOROUGH,STATE TREASURER,,Under Votes,,26,,,
Perry,DUNCANNON BOROUGH,U.S. House,13,JOHN JOYCE,REP,475,421,51,3
